CID,n_in,LeafAC_O2_C4_1,C4_2_C4_4_1,LeafAC_O2_C4_2,C4_2_O2_2_1,FC_15_C4_0_C4_1_F1_2_F1_2_F1_2_/_1_1_1_1_/_0_0_0_0_0,N3_2_N3_2_1,FC_24_C4_0_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_31_C4_0_H1_1_H1_1_C4_1_O2_2_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_11_C4_0_O2_1_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_45_C4_0_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_C4_1_O2_2_N3_2_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_2_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0,dg_in_1,FC_35_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_29_C4_0_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_51_O2_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_30_C4_0_H1_1_H1_1_N3_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0,FC_26_C4_0_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0,FC_42_N3_0_H1_1_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_57_N3_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_32_C4_0_F1_1_F1_1_/_1_1_/_0_0_0,FC_56_C4_0_C4_1_H1_2_O2_2_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,C4_2_S2_2_1,n,FC_77_C4_0_H1_1_H1_1_C4_1_H1_2_O2_2_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_75_O2_0_C4_1_F1_2_F1_2_F1_2_/_1_1_1_1_/_0_0_0_0_0,FC_55_C4_0_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_H1_2_C4_1_F1_2_F1_2_F1_2_/_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_50_C4_0_H1_1_H1_1_O2_1_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,N3_2_N3_2_2,na_in_B3,dg_1
46220502,0.410714,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,1,0,0,0,0.393443,0,0,0,0,0,0,0
71226662,0.428571,0.0,0.0,0.5,0.0,0.0,0,0,0,0.0,0,0.333333,0,0,0,0,0.0,0,0,0,0,0,0.360656,0,0,0,0,0,0,0
75163532,0.232143,0.0,0.0,0.5,0.0,0.0,0,0,0,0.0,0,0.333333,0,0,0,0,0.0,0,0,0,0,0,0.278689,0,0,1,0,0,0,0
2159,0.160714,0.0,0.0,0.25,0.0,0.0,0,0,0,0.5,0,0.333333,0,0,0,0,0.0,0,0,0,0,0,0.196721,0,0,0,0,0,0,0
24872560,0.267857,0.0,0.666667,0.5,0.0,0.5,0,0,0,0.0,0,0.333333,0,0,0,0,0.0,0,0,0,0,0,0.327869,0,0,0,0,0,0,0
5464098,0.25,0.111111,0.333333,0.5,0.0,0.0,0,0,0,0.0,0,0.333333,0,0,0,0,0.0,0,0,0,0,0,0.229508,0,0,0,0,0,0,0
118023034,0.482143,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.393443,0,0,0,0,0,0,0
124081896,0.482143,0.0,0.0,0.75,0.5,0.0,0,0,0,0.0,0,0.333333,0,0,0,0,0.0,0,0,0,0,1,0.442623,0,0,0,0,0,0,0
31593,0.160714,0.0,0.0,0.25,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0983607,0,0,0,0,0,0,0
9837243,0.0178571,0.0,0.0,0.5,0.0,0.0,0,0,0,0.0,1,0.666667,0,0,0,0,0.0,0,0,0,0,0,0.0327869,0,0,0,0,0,0,0
25145656,0.375,0.0,0.0,0.25,0.0,0.0,0,0,0,0.0,0,0.333333,0,0,0,0,0.0,0,0,0,0,0,0.295082,0,0,0,0,0,0,0
25267009,0.0892857,0.333333,0.0,0.25,0.0,0.0,0,0,0,0.0,0,0.0,0,1,0,0,0.0,0,0,1,0,0,0.0819672,0,0,0,0,0,0,0
11962412,0.142857,0.0,0.0,0.25,0.0,0.0,0,0,0,0.0,0,0.333333,0,0,0,0,0.0,0,0,0,0,0,0.0819672,0,0,0,0,1,0,0
135565596,0.446429,0.0,0.0,0.25,0.375,0.0,0,0,0,0.5,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.360656,0,0,0,0,0,0,0
44591583,0.178571,0.0,0.0,0.0,0.125,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0983607,0,0,0,0,0,1,0
57519532,0.392857,0.0,0.0,0.25,0.0,0.0,0,0,0,0.5,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.327869,0,0,0,0,0,0,0
67171867,0.25,0.111111,0.0,0.25,0.0,0.0,1,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,1,0,0.245902,0,0,0,0,0,0,0
16886,0.0892857,0.222222,0.0,0.25,0.0,0.0,0,0,0,0.0,0,0.0,0,1,0,0,0.0,0,0,0,0,0,0.0491803,0,0,0,0,0,0,0
54726191,0.303571,0.111111,0.0,0.75,0.125,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.278689,0,0,0,0,0,0,0
58460047,0.232143,0.0,0.0,0.5,0.0,0.5,1,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.262295,0,0,0,0,0,0,0
